llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-5;-1.0;0.7775;0.79;0.7841;0.79;GPT;0.0084
gpt-5-nano;-1.0;0.7429;0.715;0.7898;0.715;GPT;0.0079
DeepSeek-R1-Distill-Llama-70B;70.0;0.7884;0.791;0.7946;0.791;Deepseek;0.0077
DeepSeek-R1-Distill-Llama-8B;8.0;0.7449;0.7283;0.7709;0.7283;Deepseek;0.0077
DeepSeek-R1-Distill-Qwen-14B;14.0;0.7752;0.7797;0.7834;0.7797;Deepseek;0.0079
DeepSeek-R1-Distill-Qwen-1.5B;1.5;0.6759;0.6523;0.7053;0.6523;Deepseek;0.0088
DeepSeek-R1-Distill-Qwen-32B;32.0;0.7769;0.7777;0.7856;0.7777;Deepseek;0.0079
DeepSeek-R1-Distill-Qwen-7B;7.0;0.7454;0.7373;0.7665;0.7373;Deepseek;0.0081
gemma-3-27b-it;27.0;0.7785;0.7953;0.7837;0.7953;Gemma;0.0083
gemma-3-12b-it;12.0;0.7799;0.7907;0.7841;0.7907;Gemma;0.008
gemma-3-4b-it;4.0;0.757;0.7823;0.7672;0.7823;Gemma;0.0084
gemma-3-1b-it;1.0;0.7387;0.7663;0.7434;0.7663;Gemma;0.0086
gpt-oss-120b;120.0;0.7827;0.8017;0.7801;0.8017;GPT;0.0082
gpt-oss-20b-MXFP4;20.0;0.774;0.7683;0.789;0.7683;GPT;0.0078
llama-3.2-1B-Instruct;1.0;0.3763;0.2607;0.7292;0.2607;LLaMA;0.0097
llama-3.2-3B-Instruct;3.0;0.7051;0.701;0.7547;0.701;LLaMA;0.0085
llama-3.3-70B-Instruct;70.0;0.782;0.802;0.7825;0.802;LLaMA;0.0084
llama-4-scout-17b-16e-instruct;109.0;0.7803;0.799;0.7784;0.799;LLaMA;0.008
meta-llama-3.1-8B-Instruct;8.0;0.767;0.7823;0.7694;0.7823;LLaMA;0.0082
mistral-7B-Instruct-v0.3;7.0;0.7635;0.7583;0.7785;0.7583;Mistral;0.0082
mistral-small-3.2-24B-Instruct-2506;24.0;0.7776;0.795;0.7817;0.795;Mistral;0.0082
Phi-4-mini-instruct;3.8;0.7472;0.7387;0.7649;0.7387;Phi;0.0082
phi-4;14.8;0.7853;0.8043;0.7862;0.8043;Phi;0.0077
Qwen3-0.6B;0.6;0.7338;0.7633;0.7146;0.7633;Qwen;0.0087
Qwen3-14B;14.0;0.7822;0.7823;0.7902;0.7823;Qwen;0.0077
Qwen3-1.7B;1.7;0.7615;0.7707;0.7638;0.7707;Qwen;0.0082
Qwen3-30B-A3B-Thinking-2507;30.0;0.7346;0.714;0.781;0.714;Qwen;0.009
Qwen3-32B;32.0;0.793;0.7987;0.7963;0.7987;Qwen;0.0079
Qwen3-4B;4.0;0.7728;0.778;0.7797;0.778;Qwen;0.0082
Qwen3-8B;8.0;0.7699;0.7737;0.7769;0.7737;Qwen;0.0079
sabia-7b;7.0;0.3056;0.241;0.6197;0.241;Sabia;0.0091
