llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-5;-1.0;0.8024;0.7937;0.8198;0.7937;GPT;0.0073
gpt-5-nano;-1.0;0.7943;0.7883;0.8063;0.7883;GPT;0.0075
DeepSeek-R1-Distill-Llama-70B;70.0;0.7827;0.7607;0.82;0.7607;Deepseek;0.0071
DeepSeek-R1-Distill-Llama-8B;8.0;0.7599;0.7353;0.7967;0.7353;Deepseek;0.0075
DeepSeek-R1-Distill-Qwen-14B;14.0;0.7751;0.7593;0.8013;0.7593;Deepseek;0.0074
DeepSeek-R1-Distill-Qwen-1.5B;1.5;0.6726;0.6503;0.7256;0.6503;Deepseek;0.0081
DeepSeek-R1-Distill-Qwen-32B;32.0;0.7879;0.774;0.8113;0.774;Deepseek;0.0074
DeepSeek-R1-Distill-Qwen-7B;7.0;0.7435;0.7433;0.7685;0.7433;Deepseek;0.0078
gemma-3-27b-it;27.0;0.7971;0.7883;0.8153;0.7883;Gemma;0.0073
gemma-3-12b-it;12.0;0.7916;0.79;0.8026;0.79;Gemma;0.0074
gemma-3-4b-it;4.0;0.7743;0.763;0.7986;0.763;Gemma;0.0076
gemma-3-1b-it;1.0;0.754;0.7463;0.7746;0.7463;Gemma;0.008
gpt-oss-120b;120.0;0.798;0.7863;0.818;0.7863;GPT;0.007
gpt-oss-20b-MXFP4;20.0;0.7994;0.794;0.8104;0.794;GPT;0.0073
llama-3.2-1B-Instruct;1.0;0.7582;0.7683;0.7573;0.7683;LLaMA;0.0084
llama-3.2-3B-Instruct;3.0;0.7904;0.7933;0.794;0.7933;LLaMA;0.0074
llama-3.3-70B-Instruct;70.0;0.8121;0.809;0.8206;0.809;LLaMA;0.0072
llama-4-scout-17b-16e-instruct;109.0;0.8108;0.8147;0.8121;0.8147;LLaMA;0.0073
meta-llama-3.1-8B-Instruct;8.0;0.7958;0.7843;0.8132;0.7843;LLaMA;0.0076
mistral-7B-Instruct-v0.3;7.0;0.7769;0.761;0.7989;0.761;Mistral;0.0074
mistral-small-3.2-24B-Instruct-2506;24.0;0.7972;0.7927;0.8073;0.7927;Mistral;0.0076
Phi-4-mini-instruct;3.8;0.7809;0.763;0.8077;0.763;Phi;0.0074
phi-4;14.8;0.7998;0.781;0.8285;0.781;Phi;0.0071
Qwen3-0.6B;0.6;0.7518;0.76;0.7533;0.76;Qwen;0.0082
Qwen3-14B;14.0;0.7874;0.7647;0.8217;0.7647;Qwen;0.0072
Qwen3-1.7B;1.7;0.7753;0.7733;0.7838;0.7733;Qwen;0.0078
Qwen3-30B-A3B-Thinking-2507;30.0;0.745;0.6927;0.8152;0.6927;Qwen;0.0082
Qwen3-32B;32.0;0.7842;0.7643;0.8172;0.7643;Qwen;0.0072
Qwen3-4B;4.0;0.7835;0.7723;0.8049;0.7723;Qwen;0.0074
Qwen3-8B;8.0;0.7792;0.766;0.8032;0.766;Qwen;0.0074
sabia-7b;7.0;0.7688;0.7923;0.7609;0.7923;Sabia;0.0091
