llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-5;-1.0;0.7998;0.801;0.8081;0.801;GPT;0.0076
gpt-5-nano;-1.0;0.7878;0.7923;0.79;0.7923;GPT;0.008
DeepSeek-R1-Distill-Llama-70B;70.0;0.7891;0.776;0.8123;0.776;Deepseek;0.0073
DeepSeek-R1-Distill-Llama-8B;8.0;0.7631;0.7443;0.7896;0.7443;Deepseek;0.0076
DeepSeek-R1-Distill-Qwen-14B;14.0;0.7686;0.7577;0.7901;0.7577;Deepseek;0.0077
DeepSeek-R1-Distill-Qwen-1.5B;1.5;0.695;0.6787;0.721;0.6787;Deepseek;0.0086
DeepSeek-R1-Distill-Qwen-32B;32.0;0.7772;0.767;0.7959;0.767;Deepseek;0.0076
DeepSeek-R1-Distill-Qwen-7B;7.0;0.7453;0.7423;0.7709;0.7423;Deepseek;0.0084
gemma-3-27b-it;27.0;0.7978;0.7907;0.8147;0.7907;Gemma;0.0074
gemma-3-12b-it;12.0;0.7874;0.783;0.8019;0.783;Gemma;0.0074
gemma-3-4b-it;4.0;0.7692;0.757;0.7957;0.757;Gemma;0.0074
gemma-3-1b-it;1.0;0.7567;0.7547;0.769;0.7547;Gemma;0.008
gpt-oss-120b;120.0;0.7971;0.7973;0.8029;0.7973;GPT;0.0073
gpt-oss-20b-MXFP4;20.0;0.7914;0.796;0.7948;0.796;GPT;0.0078
llama-3.2-1B-Instruct;1.0;0.7585;0.7633;0.7576;0.7633;LLaMA;0.0082
llama-3.2-3B-Instruct;3.0;0.7836;0.7813;0.7907;0.7813;LLaMA;0.0075
llama-3.3-70B-Instruct;70.0;0.8069;0.8053;0.8148;0.8053;LLaMA;0.0074
llama-4-scout-17b-16e-instruct;109.0;0.8166;0.8187;0.8182;0.8187;LLaMA;0.0076
meta-llama-3.1-8B-Instruct;8.0;0.7908;0.7827;0.8041;0.7827;LLaMA;0.0076
mistral-7B-Instruct-v0.3;7.0;0.7798;0.769;0.7957;0.769;Mistral;0.0074
mistral-small-3.2-24B-Instruct-2506;24.0;0.796;0.7943;0.8043;0.7943;Mistral;0.0074
Phi-4-mini-instruct;3.8;0.7656;0.7347;0.8165;0.7347;Phi;0.0071
phi-4;14.8;0.7981;0.7807;0.8244;0.7807;Phi;0.007
Qwen3-0.6B;0.6;0.7524;0.7647;0.7441;0.7647;Qwen;0.0084
Qwen3-14B;14.0;0.7804;0.7597;0.8088;0.7597;Qwen;0.0075
Qwen3-1.7B;1.7;0.7743;0.775;0.7788;0.775;Qwen;0.0081
Qwen3-30B-A3B-Thinking-2507;30.0;0.7375;0.712;0.7801;0.712;Qwen;0.0082
Qwen3-32B;32.0;0.781;0.7703;0.7985;0.7703;Qwen;0.0076
Qwen3-4B;4.0;0.7805;0.776;0.7938;0.776;Qwen;0.0078
Qwen3-8B;8.0;0.7744;0.7677;0.7913;0.7677;Qwen;0.0076
sabia-7b;7.0;0.4898;0.5003;0.4929;0.5003;Sabia;0.0092
