llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-5;-1.0;0.7872;0.8097;0.7856;0.8097;GPT;0.0082
gpt-5-nano;-1.0;0.7829;0.8003;0.7794;0.8003;GPT;0.008
DeepSeek-R1-Distill-Llama-70B;70.0;0.7871;0.788;0.795;0.788;Deepseek;0.0078
DeepSeek-R1-Distill-Llama-8B;8.0;0.7562;0.7473;0.773;0.7473;Deepseek;0.0077
DeepSeek-R1-Distill-Qwen-14B;14.0;0.7703;0.7767;0.7771;0.7767;Deepseek;0.0079
DeepSeek-R1-Distill-Qwen-1.5B;1.5;0.6916;0.6813;0.7079;0.6813;Deepseek;0.0087
DeepSeek-R1-Distill-Qwen-32B;32.0;0.7799;0.7793;0.789;0.7793;Deepseek;0.0081
DeepSeek-R1-Distill-Qwen-7B;7.0;0.7544;0.753;0.7688;0.753;Deepseek;0.0079
gemma-3-27b-it;27.0;0.7871;0.7967;0.7956;0.7967;Gemma;0.0079
gemma-3-12b-it;12.0;0.7824;0.7797;0.798;0.7797;Gemma;0.0076
gemma-3-4b-it;4.0;0.7534;0.7583;0.7714;0.7583;Gemma;0.0082
gemma-3-1b-it;1.0;0.4901;0.3817;0.7587;0.3817;Gemma;0.0098
gpt-oss-120b;120.0;0.7826;0.8;0.7813;0.8;GPT;0.0078
gpt-oss-20b-MXFP4;20.0;0.7861;0.7987;0.7859;0.7987;GPT;0.008
llama-3.2-1B-Instruct;1.0;0.3406;0.228;0.7108;0.228;LLaMA;0.0097
llama-3.2-3B-Instruct;3.0;0.7173;0.731;0.7598;0.731;LLaMA;0.0084
llama-3.3-70B-Instruct;70.0;0.7895;0.8033;0.7938;0.8033;LLaMA;0.0078
llama-4-scout-17b-16e-instruct;109.0;0.7988;0.8177;0.7982;0.8177;LLaMA;0.0081
meta-llama-3.1-8B-Instruct;8.0;0.7761;0.7893;0.78;0.7893;LLaMA;0.0083
mistral-7B-Instruct-v0.3;7.0;0.7656;0.7593;0.7815;0.7593;Mistral;0.0078
mistral-small-3.2-24B-Instruct-2506;24.0;0.7739;0.7963;0.78;0.7963;Mistral;0.0082
Phi-4-mini-instruct;3.8;0.6604;0.5627;0.807;0.5627;Phi;0.0087
phi-4;14.8;0.795;0.8;0.7992;0.8;Phi;0.0081
Qwen3-0.6B;0.6;0.7391;0.7733;0.7171;0.7733;Qwen;0.0089
Qwen3-14B;14.0;0.7791;0.7793;0.7882;0.7793;Qwen;0.0078
Qwen3-1.7B;1.7;0.768;0.776;0.7721;0.776;Qwen;0.0076
Qwen3-30B-A3B-Thinking-2507;30.0;0.7442;0.7397;0.7732;0.7397;Qwen;0.0083
Qwen3-32B;32.0;0.7835;0.7907;0.7867;0.7907;Qwen;0.0077
Qwen3-4B;4.0;0.7739;0.7827;0.7798;0.7827;Qwen;0.0079
Qwen3-8B;8.0;0.7711;0.7757;0.777;0.7757;Qwen;0.008
sabia-7b;7.0;0.5177;0.5903;0.6145;0.5903;Sabia;0.0114
